金角大王,手下,伶俐虫
金角大王,手下,倚海龙
金角大王,手下,巴山虎
金角大王,手下,精细鬼
金鼻白毛老鼠精,兄弟姐妹,哪吒
金鼻白毛老鼠精,心仪对象,唐僧
银角大王,手下,伶俐虫
银角大王,手下,倚海龙
银角大王,手下,巴山虎
银角大王,手下,精细鬼
镇元子,徒弟,明月
镇元子,徒弟,清风
镇元子,结拜兄弟,孙悟空
文殊菩萨,坐骑,狮猁怪
青毛狮子怪,主人,文殊菩萨
狮驼岭妖怪,主人,文殊菩萨
狮驼岭妖怪,结拜兄弟,大鹏金翅雕
青毛狮子怪,结拜兄弟,黄牙老象怪
狮驼岭妖怪,结拜兄弟,黄牙老象怪
鹏魔王,结拜兄弟,孙悟空
鹿力大仙,主公,车迟国国王
黄牙老象怪,主人,普贤菩萨
黄牙老象怪,手下,小钻风
黄狮精,兄弟,伏狸狮怪
黄狮精,兄弟,抟象狮怪
黄狮精,兄弟,狻猊狮怪
黄狮精,兄弟,猱狮怪
黄狮精,兄弟,白泽狮怪
黄狮精,兄弟,雪狮怪
黄袍怪,主公,玉皇大帝
黄风怪,手下,虎先锋
黄风怪,主人,灵吉菩萨
鼍龙怪,兄弟,小骊龙
鼍龙怪,兄弟,小黄龙
鼍龙怪,兄弟,徒劳龙
鼍龙怪,兄弟,敬仲龙
鼍龙怪,兄弟,稳兽龙
鼍龙怪,兄弟,蜃龙
鼍龙怪,兄弟,赤髯龙
鼍龙怪,兄弟,青背龙
鼍龙怪,母亲,西海龙王妹妹
鼍龙怪,父亲,泾河龙王
鼍龙怪,舅舅,西海龙王
